ERR349747,Illumina paired-end
ERR349756,Illumina paired-end
ERR349757,Illumina paired-end
ERR349758,Illumina paired-end
ERR349759,Illumina paired-end
ERR349763,Illumina paired-end
ERR349764,Illumina paired-end
ERR349765,Illumina paired-end
ERR349748,Illumina paired-end
ERR349766,Illumina paired-end
ERR349767,Illumina paired-end
ERR349768,Illumina paired-end
ERR349769,Illumina paired-end
ERR349770,Illumina paired-end
ERR349773,Illumina paired-end
ERR349774,Illumina paired-end
ERR349775,Illumina paired-end
ERR349749,Illumina paired-end
ERR349777,Illumina paired-end
ERR349778,Illumina paired-end
ERR349780,Illumina paired-end
ERR349784,Illumina paired-end
ERR349785,Illumina paired-end
ERR349786,Illumina paired-end
ERR349787,Illumina paired-end
ERR349788,Illumina paired-end
ERR349789,Illumina paired-end
ERR349790,Illumina paired-end
ERR349791,Illumina paired-end
ERR349795,Illumina paired-end
ERR349751,Illumina paired-end
ERR349797,Illumina paired-end
ERR349798,Illumina paired-end
ERR349799,Illumina paired-end
ERR349800,Illumina paired-end
ERR349803,Illumina paired-end
ERR349804,Illumina paired-end
ERR349805,Illumina paired-end
ERR349752,Illumina paired-end
ERR349806,Illumina paired-end
ERR349807,Illumina paired-end
ERR349808,Illumina paired-end
ERR349811,Illumina paired-end
ERR349812,Illumina paired-end
ERR349813,Illumina paired-end
ERR349814,Illumina paired-end
ERR349815,Illumina paired-end
ERR349753,Illumina paired-end
ERR349816,Illumina paired-end
ERR349817,Illumina paired-end
ERR349818,Illumina paired-end
ERR349819,Illumina paired-end
ERR349820,Illumina paired-end
ERR349821,Illumina paired-end
ERR349822,Illumina paired-end
ERR349823,Illumina paired-end
ERR349824,Illumina paired-end
ERR349825,Illumina paired-end
ERR349754,Illumina paired-end
ERR349826,Illumina paired-end
ERR349828,Illumina paired-end
ERR349831,Illumina paired-end
ERR349833,Illumina paired-end
ERR349834,Illumina paired-end
ERR349835,Illumina paired-end
ERR349755,Illumina paired-end
ERR349838,Illumina paired-end
ERR349839,Illumina paired-end
ERR349841,Illumina paired-end
ERR349842,Illumina paired-end
ERR349843,Illumina paired-end
ERR349844,Illumina paired-end
ERR349845,Illumina paired-end
ERR349846,Illumina paired-end
ERR349847,Illumina paired-end
ERR349848,Illumina paired-end
ERR349849,Illumina paired-end
ERR349852,Illumina paired-end
ERR349853,Illumina paired-end
ERR349854,Illumina paired-end
ERR317538,Illumina paired-end
ERR317539,Illumina paired-end
ERR317529,Illumina paired-end
ERR317530,Illumina paired-end
ERR317531,Illumina paired-end
ERR317532,Illumina paired-end
ERR317533,Illumina paired-end
ERR317535,Illumina paired-end
ERR317536,Illumina paired-end
SRR24335776,ONT MinION
SRR24335778,ONT MinION
ERR10175978,ONT MinION
ERR10317397,ONT MinION
ERR10367346,ONT MinION
ERR10367350,ONT MinION
ERR10367358,ONT MinION
ERR10367364,ONT MinION
ERR10367367,ONT MinION
ERR10367375,ONT MinION
ERR10367383,ONT MinION
